Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Montana,US,2020-05-09 02:32:39,46.9219,-110.4544,458,16,420.0,22.0,30,52.887629952874576,20945.0,62.0,3.4934497816593884,84000030,USA,2418.6275313601705,13.537117903930133
Nebraska,US,2020-05-09 02:32:39,41.1254,-98.2681,7818,90,,7728.0,31,512.5643163973376,40412.0,,1.1511895625479662,84000031,USA,2649.4946475120505,
Nevada,US,2020-05-09 02:32:39,38.3135,-117.0554,5920,294,205.0,5421.0,32,196.2411206693944,53344.0,,4.966216216216216,84000032,USA,1768.2916116534077,
New Hampshire,US,2020-05-09 02:32:39,43.4525,-71.5639,2947,121,1165.0,1661.0,33,221.8879221291603,30672.0,308.0,4.105870376654225,84000033,USA,2309.3811834223293,10.451306413301662
New Jersey,US,2020-05-09 02:32:39,40.2989,-74.521,135840,8960,15642.0,111238.0,34,1529.3525583217652,298759.0,,6.595995288574795,84000034,USA,3363.573623171763,
New Mexico,US,2020-05-09 02:32:39,34.8405,-106.2485,4673,181,1125.0,3367.0,35,280.23433419308645,89032.0,760.0,3.873314787074684,84000035,USA,5339.1447125784025,16.263642199871605
New York,US,2020-05-09 02:32:39,42.1657,-74.9481,330407,26243,56378.0,247786.0,36,1959.5902384344959,1121543.0,71679.0,7.942628334145462,84000036,USA,6651.689324937243,21.694152968914093
North Carolina,US,2020-05-09 02:32:39,35.6301,-79.8064,14006,530,,13476.0,37,141.21976733927374,178613.0,,3.7840925317720977,84000037,USA,1800.920055959568,
North Dakota,US,2020-05-09 02:32:39,47.5289,-99.784,1425,33,714.0,678.0,38,234.98642850311168,42501.0,104.0,2.3157894736842106,84000038,USA,7008.532068639123,7.298245614035088
Northern Mariana Islands,US,2020-05-09 02:32:39,15.0979,145.6739,15,2,12.0,1.0,69,27.201508777020173,2336.0,,13.333333333333336,580,MNP,4236.181633541274,
Ohio,US,2020-05-09 02:32:39,40.3888,-82.7649,23016,1306,,21710.0,39,205.9807443443895,184316.0,4218.0,5.674313521028849,84000039,USA,1649.5284530144463,18.32638164754953
Oklahoma,US,2020-05-09 02:32:39,35.5653,-96.9289,4424,266,3064.0,1094.0,40,120.95250645635949,89857.0,805.0,6.012658227848102,84000040,USA,2456.697416964081,18.196202531645568
Oregon,US,2020-05-09 02:32:39,44.572,-122.0709,3068,124,1125.0,1819.0,41,76.56459551283555,72693.0,659.0,4.041720990873533,84000041,USA,1814.1167345549395,21.479791395045638
Pennsylvania,US,2020-05-09 02:32:39,40.5908,-77.2098,57371,3715,,53656.0,42,455.7776657265539,270559.0,,6.475396977567064,84000042,USA,2149.4265301513087,
Puerto Rico,US,2020-05-09 02:32:39,18.2208,-66.5901,2156,107,,2049.0,72,73.49812913853101,2156.0,,4.962894248608534,630,PRI,73.49812913853101,
Rhode Island,US,2020-05-09 02:32:39,41.6809,-71.5118,10779,399,730.0,9650.0,44,1017.5001722736632,85266.0,1187.0,3.701642081825773,84000044,USA,8048.814332413596,11.012153260970406
South Carolina,US,2020-05-09 02:32:39,33.8569,-80.945,7367,320,3816.0,3231.0,45,146.171359976984,73442.0,1152.0,4.3436948554364045,84000045,USA,1457.1897678063879,15.637301479571061
South Dakota,US,2020-05-09 02:32:39,44.2998,-99.4388,3145,31,2069.0,1045.0,46,427.3724948769656,21293.0,247.0,0.985691573926868,84000046,USA,2893.4952411495165,7.853736089030208
Tennessee,US,2020-05-09 02:32:39,35.7478,-86.6923,14441,242,7011.0,7188.0,47,219.97191439541842,243578.0,1299.0,1.6757842254691504,84000047,USA,3710.2914593592714,8.995221937538952
